UNIQUE_KEY,SANMAR_MAINFRAME_COLOR
706985,Indigo Blue
706991,Indigo Blue
707002,Indigo Blue
707013,Indigo Blue
707024,Indigo Blue
707132,Military Green
707133,Military Green
707134,Military Green
707135,Military Green
707141,Military Green
707152,Military Green
707163,Military Green
707174,Military Green
707182,Irish Green
707183,Irish Green
707184,Irish Green
707185,Irish Green
707191,Irish Green
707202,Irish Green
707213,Irish Green
707224,Irish Green
862342,Carolina Blue
862343,Carolina Blue
862344,Carolina Blue
862345,Carolina Blue
862351,Carolina Blue
862362,Carolina Blue
862373,Carolina Blue
862384,Carolina Blue
862392,Cardinal Red
862393,Cardinal Red
862394,Cardinal Red
862395,Cardinal Red
862401,Cardinal Red
862412,Cardinal Red
862423,Cardinal Red
862434,Cardinal Red
862442,Sand
862443,Sand
862444,Sand
862445,Sand
862451,Sand
862462,Sand
862473,Sand
862484,Sand
943702,Gold
943703,Gold
943704,Gold
943705,Gold
943711,Gold
943722,Gold
943733,Gold
943744,Gold
943752,Antqu Chry Red
943753,Antqu Chry Red
943754,Antqu Chry Red
943755,Antqu Chry Red
943761,Antqu Chry Red
943772,Antqu Chry Red
943783,Antqu Chry Red
943794,Antqu Chry Red
943802,Antqu Sapphire
943803,Antqu Sapphire
943804,Antqu Sapphire
943805,Antqu Sapphire
943811,Antqu Sapphire
943822,Antqu Sapphire
943833,Antqu Sapphire
943844,Antqu Sapphire
943852,Cherry Red
943853,Cherry Red
943854,Cherry Red
943855,Cherry Red
943861,Cherry Red
943872,Cherry Red
943883,Cherry Red
943894,Cherry Red
943952,Safety Green
943953,Safety Green
943954,Safety Green
943955,Safety Green
943961,Safety Green
943972,Safety Green
943983,Safety Green
943994,Safety Green
944002,S Orange
944003,S Orange
944004,S Orange
944005,S Orange
944011,S Orange
944022,S Orange
944033,S Orange
944044,S Orange
1036732,Safety Pink
1036733,Safety Pink
1036734,Safety Pink
1036735,Safety Pink
1036741,Safety Pink
1036752,Safety Pink
1036763,Safety Pink
1036774,Safety Pink
257401,Sport Grey
257402,Sport Grey
257403,Sport Grey
257404,Sport Grey
257405,Sport Grey
257411,Black
257412,Black
257413,Black
257414,Black
257415,Black
257421,Forest
257422,Forest
257423,Forest
257424,Forest
257425,Forest
257441,Maroon
257442,Maroon
257443,Maroon
257444,Maroon
257445,Maroon
257451,Navy
257452,Navy
257453,Navy
257454,Navy
257455,Navy
257461,Red
257462,Red
257463,Red
257464,Red
257465,Red
257471,Royal
257472,Royal
257473,Royal
257474,Royal
257475,Royal
257502,Sport Grey
257503,Sport Grey
257504,Sport Grey
257505,Sport Grey
257511,Sport Grey
257522,Black
257523,Black
257524,Black
257525,Black
257531,Black
257542,Navy
257543,Navy
257544,Navy
257545,Navy
257551,Navy
862592,Black
862593,Black
862594,Black
862595,Black
862602,Navy
862603,Navy
862604,Navy
862605,Navy
862612,Sports Grey
862613,Sports Grey
862614,Sports Grey
862615,Sports Grey
1122322,Black
1122323,Black
1122324,Black
1122325,Black
1122331,Black
1122342,Black
1122352,Navy
1122353,Navy
1122354,Navy
1122355,Navy
1122361,Navy
1122372,Navy
1122382,Sport Grey
1122383,Sport Grey
1122384,Sport Grey
1122385,Sport Grey
1122391,Sport Grey
1122402,Sport Grey
1122472,Black
1122473,Black
1122474,Black
1122475,Black
1122482,Navy
1122483,Navy
1122484,Navy
1122485,Navy
1122492,Sport Grey
1122493,Sport Grey
1122494,Sport Grey
1122495,Sport Grey
253972,White
253973,White
253974,White
253975,White
253981,White
253992,Ash
253993,Ash
253994,Ash
253995,Ash
254001,Ash
257562,Sport Grey
257563,Sport Grey
257564,Sport Grey
257565,Sport Grey
257571,Sport Grey
257582,Black
257583,Black
257584,Black
257585,Black
257591,Black
257602,Forest
257603,Forest
257604,Forest
257605,Forest
257611,Forest
257622,Light Pink
257623,Light Pink
257624,Light Pink
257625,Light Pink
257631,Light Pink
257642,Navy
257643,Navy
257644,Navy
257645,Navy
257651,Navy
257662,Orange
257663,Orange
257664,Orange
257665,Orange
257681,Orange
257692,Red
257693,Red
257694,Red
257695,Red
257701,Red
257712,Royal
257713,Royal
257714,Royal
257715,Royal
257721,Royal
324782,Sport Grey
324792,White
324802,Black
324812,Navy
363102,Forest
363112,Red
363132,Ash
387922,Light Blue
387923,Light Blue
387924,Light Blue
387925,Light Blue
387931,Light Blue
387942,Dark Heather
387943,Dark Heather
387944,Dark Heather
387945,Dark Heather
387951,Dark Heather
387972,Dark Chocolate
387973,Dark Chocolate
387974,Dark Chocolate
387975,Dark Chocolate
387981,Dark Chocolate
387992,Sand
387993,Sand
387994,Sand
387995,Sand
388001,Sand
388012,Maroon
388013,Maroon
388014,Maroon
388015,Maroon
388021,Maroon
388042,Irish Green
388043,Irish Green
388044,Irish Green
388045,Irish Green
388051,Irish Green
388072,Purple
388073,Purple
388074,Purple
388075,Purple
388081,Purple
470543,White
470554,White
470563,Black
470574,Black
470583,Sport Grey
470594,Sport Grey
470603,Navy
470614,Navy
505682,Dark Chocolate
505692,Dark Heather
505702,Irish Green
505712,Light Blue
505722,Maroon
505732,Orange
505742,Royal
571162,Carolina Blue
571163,Carolina Blue
571164,Carolina Blue
571165,Carolina Blue
571171,Carolina Blue
571182,Carolina Blue
571192,Cherry Red
571193,Cherry Red
571194,Cherry Red
571195,Cherry Red
571201,Cherry Red
571222,Gold
571223,Gold
571224,Gold
571225,Gold
571231,Gold
571242,Gold
571252,Heliconia
571253,Heliconia
571254,Heliconia
571255,Heliconia
571261,Heliconia
571272,Kiwi
571273,Kiwi
571274,Kiwi
571275,Kiwi
571281,Kiwi
629903,Ash
629914,Ash
629923,Carolina Blue
629934,Carolina Blue
629942,Cherry Red
629953,Cherry Red
629964,Cherry Red
629973,Dark Chocolate
629984,Dark Chocolate
629993,Dark Heather
630004,Dark Heather
630013,Forest
630024,Forest
630033,Gold
630044,Gold
630052,Heliconia
630063,Heliconia
630074,Heliconia
630083,Irish Green
630094,Irish Green
630102,Kiwi
630113,Kiwi
630124,Kiwi
630133,Light Blue
630144,Light Blue
630152,Light Pink
630163,Light Pink
630174,Light Pink
630183,Maroon
630194,Maroon
630203,Orange
630214,Orange
630222,Purple
630233,Purple
630244,Purple
630253,Red
630264,Red
630273,Royal
630284,Royal
630292,Sand
630303,Sand
630314,Sand
707232,Charcoal
707233,Charcoal
707234,Charcoal
707235,Charcoal
707241,Charcoal
707252,Charcoal
707263,Charcoal
707274,Charcoal
707282,Antqu Chry Red
707283,Antqu Chry Red
707284,Antqu Chry Red
707285,Antqu Chry Red
707291,Antqu Chry Red
707302,Antqu Chry Red
707313,Antqu Chry Red
707324,Antqu Chry Red
707332,Antqu Sapphire
707333,Antqu Sapphire
707334,Antqu Sapphire
707335,Antqu Sapphire
707341,Antqu Sapphire
707352,Antqu Sapphire
707363,Antqu Sapphire
707374,Antqu Sapphire
707382,Indigo Blue
707383,Indigo Blue
707384,Indigo Blue
707385,Indigo Blue
707391,Indigo Blue
707402,Indigo Blue
707413,Indigo Blue
707424,Indigo Blue
707432,Military Green
707433,Military Green
707434,Military Green
707435,Military Green
707441,Military Green
707452,Military Green
707463,Military Green
707474,Military Green
862502,Cardinal Red
862503,Cardinal Red
862504,Cardinal Red
862505,Cardinal Red
862511,Cardinal Red
862522,Cardinal Red
862533,Cardinal Red
862544,Cardinal Red
944062,Garnet
944063,Garnet
944064,Garnet
944065,Garnet
944071,Garnet
944082,Garnet
944093,Garnet
944104,Garnet
944112,Safety Green
944113,Safety Green
944114,Safety Green
944115,Safety Green
944121,Safety Green
944132,Safety Green
944143,Safety Green
944154,Safety Green
944162,S Orange
944163,S Orange
944164,S Orange
944165,S Orange
944171,S Orange
944182,S Orange
944193,S Orange
944204,S Orange
1036792,Safety Pink
1036793,Safety Pink
1036794,Safety Pink
1036795,Safety Pink
1036801,Safety Pink
1036812,Safety Pink
1036823,Safety Pink
1036834,Safety Pink
627321,BLACK
627322,BLACK
627323,BLACK
627324,BLACK
627325,BLACK
627331,LT PINK
627332,LT PINK
627333,LT PINK
627334,LT PINK
627335,LT PINK
627341,NAVY
627342,NAVY
627343,NAVY
627344,NAVY
627345,NAVY
627351,PURPLE
627352,PURPLE
627353,PURPLE
627354,PURPLE
627355,PURPLE
627361,RED
627362,RED
627363,RED
627364,RED
627365,RED
627371,ROYAL
627372,ROYAL
627373,ROYAL
627374,ROYAL
627375,ROYAL
627381,SP GREY
627382,SP GREY
627383,SP GREY
627384,SP GREY
627385,SP GREY
627391,WHITE
627392,WHITE
627393,WHITE
627394,WHITE
627395,WHITE
862551,Cardinal Red
862552,Cardinal Red
862553,Cardinal Red
862554,Cardinal Red
862555,Cardinal Red
944211,Forest Green
944212,Forest Green
944213,Forest Green
944214,Forest Green
944215,Forest Green
944221,Gold
944222,Gold
944223,Gold
944224,Gold
944225,Gold
944241,Maroon
944242,Maroon
944243,Maroon
944244,Maroon
944245,Maroon
944251,Orange
944252,Orange
944253,Orange
944254,Orange
944255,Orange
944261,Carolina Blue
944262,Carolina Blue
944263,Carolina Blue
944264,Carolina Blue
944265,Carolina Blue
944271,Charcoal
944272,Charcoal
944273,Charcoal
944274,Charcoal
944275,Charcoal
944281,Heliconia
944282,Heliconia
944283,Heliconia
944284,Heliconia
944285,Heliconia
944291,Irish Green
944292,Irish Green
944293,Irish Green
944294,Irish Green
944295,Irish Green
1036841,Safety Pink
1036842,Safety Pink
1036843,Safety Pink
1036844,Safety Pink
1036845,Safety Pink
298442,White
298443,White
298444,White
298445,White
298451,White
298462,Ash
298463,Ash
298464,Ash
298465,Ash
298471,Ash
298482,Sport Grey
298483,Sport Grey
298484,Sport Grey
298485,Sport Grey
298491,Sport Grey
298502,Black
298503,Black
298504,Black
298505,Black
298511,Black
298522,Navy
298523,Navy
298524,Navy
298525,Navy
298531,Navy
298542,Red
298543,Red
298544,Red
298545,Red
298551,Red
298562,Royal
298563,Royal
298564,Royal
298565,Royal
298571,Royal
571652,Dark Chocolate
571653,Dark Chocolate
571654,Dark Chocolate
571655,Dark Chocolate
571661,Dark Chocolate
571672,Black
572012,Navy
572022,Sport Grey
575032,Carolina Blue
575033,Carolina Blue
575034,Carolina Blue
575035,Carolina Blue
575041,Carolina Blue
630322,Ash
630333,Ash
630344,Ash
630353,Black
630364,Black
630372,Carolina Blue
630383,Carolina Blue
630394,Carolina Blue
630402,Dark Chocolate
630413,Dark Chocolate
630424,Dark Chocolate
630433,Navy
630444,Navy
630452,Red
630463,Red
630474,Red
630482,Royal
630493,Royal
630504,Royal
630513,Sport Grey
630524,Sport Grey
630532,White
630543,White
630554,White
663572,Forest Green
663573,Forest Green
663574,Forest Green
663575,Forest Green
663581,Forest Green
663592,Forest Green
663603,Forest Green
663614,Forest Green
707482,Maroon
707483,Maroon
707484,Maroon
707485,Maroon
707491,Maroon
707502,Maroon
707513,Maroon
707524,Maroon
707532,Light Pink
707533,Light Pink
707534,Light Pink
707535,Light Pink
707541,Light Pink
707552,Light Pink
707563,Light Pink
707574,Light Pink
944352,Purple
944353,Purple
944354,Purple
944355,Purple
944361,Purple
944372,Purple
944383,Purple
944394,Purple
944402,Cardinal
944403,Cardinal
944404,Cardinal
944405,Cardinal
944411,Cardinal
944422,Cardinal
944433,Cardinal
944444,Cardinal
944452,Irish Green
944453,Irish Green
944454,Irish Green
944455,Irish Green
944461,Irish Green
944472,Irish Green
944483,Irish Green
944494,Irish Green
944502,Safety Green
944503,Safety Green
944504,Safety Green
944505,Safety Green
944511,Safety Green
944522,Safety Green
944533,Safety Green
944544,Safety Green
944552,S Orange
944553,S Orange
944554,S Orange
944555,S Orange
944561,S Orange
944572,S Orange
944583,S Orange
944594,S Orange
1036852,Dark Hthr Grey
1036853,Dark Hthr Grey
1036854,Dark Hthr Grey
1036855,Dark Hthr Grey
1036861,Dark Hthr Grey
1036872,Dark Hthr Grey
1036883,Dark Hthr Grey
1036894,Dark Hthr Grey
707931,Black
707932,Black
707933,Black
707934,Black
707935,Black
707941,Sport Grey
707942,Sport Grey
707943,Sport Grey
707944,Sport Grey
707945,Sport Grey
707951,Navy
707952,Navy
707953,Navy
707954,Navy
707955,Navy
944611,Red
944612,Red
944613,Red
944614,Red
944615,Red
944621,Royal
944622,Royal
944623,Royal
944624,Royal
944625,Royal
262532,Natural
262533,Natural
262534,Natural
262535,Natural
262541,Natural
262552,Natural
262582,White
262583,White
262584,White
262585,White
262591,White
262602,White
262613,White
262624,White
262632,Ash
262633,Ash
262634,Ash
262635,Ash
262641,Ash
262652,Ash
262663,Ash
262674,Ash
262682,Dark Heather
262683,Dark Heather
262684,Dark Heather
262685,Dark Heather
262691,Dark Heather
262702,Dark Heather
262712,Sport Grey
262713,Sport Grey
262714,Sport Grey
262715,Sport Grey
262721,Sport Grey
262732,Sport Grey
262743,Sport Grey
262754,Sport Grey
262762,Azalea
262763,Azalea
262764,Azalea
262765,Azalea
262771,Azalea
262782,Black
262783,Black
262784,Black
262785,Black
262791,Black
262802,Black
262813,Black
262824,Black
262832,Blue Dusk
262833,Blue Dusk
262834,Blue Dusk
262835,Blue Dusk
262841,Blue Dusk
262852,Blue Dusk
262862,Cardinal Red
262863,Cardinal Red
262864,Cardinal Red
262865,Cardinal Red
262871,Cardinal Red
262882,Cardinal Red
262892,Carolina Blue
262893,Carolina Blue
262894,Carolina Blue
262895,Carolina Blue
262901,Carolina Blue
262912,Carolina Blue
262942,Charcoal
262943,Charcoal
262944,Charcoal
262945,Charcoal
262951,Charcoal
262962,Charcoal
262972,Chestnut
262973,Chestnut
262974,Chestnut
262975,Chestnut
262981,Chestnut
262992,Daisy
262993,Daisy
262994,Daisy
262995,Daisy
263001,Daisy
263012,Daisy
263022,Dark Chocolate
263023,Dark Chocolate
263024,Dark Chocolate
263025,Dark Chocolate
263031,Dark Chocolate
263062,Forest
263063,Forest
263064,Forest
263065,Forest
263071,Forest
263082,Forest
263092,Gold
263093,Gold
263094,Gold
263095,Gold
263101,Gold
263112,Gold
263122,Heliconia
263123,Heliconia
263124,Heliconia
263125,Heliconia
263131,Heliconia
263142,Ice Grey
263143,Ice Grey
263144,Ice Grey
263145,Ice Grey
263151,Ice Grey
263162,Indigo Blue
263163,Indigo Blue
263164,Indigo Blue
263165,Indigo Blue
263171,Indigo Blue
263182,Indigo Blue
263192,Iris
263193,Iris
263194,Iris
263195,Iris
263201,Iris
263212,Jade Dome
263213,Jade Dome
263214,Jade Dome
263215,Jade Dome
263221,Jade Dome
263232,Kelly Green
263233,Kelly Green
263234,Kelly Green
263235,Kelly Green
263241,Kelly Green
263252,Kelly Green
263282,Light Blue
263283,Light Blue
263284,Light Blue
263285,Light Blue
263291,Light Blue
263302,Light Blue
263312,Light Pink
263313,Light Pink
263314,Light Pink
263315,Light Pink
263321,Light Pink
263332,Lime
263333,Lime
263334,Lime
263335,Lime
263341,Lime
263352,Lime
263362,Maroon
263363,Maroon
263364,Maroon
263365,Maroon
263371,Maroon
263382,Maroon
263392,Metro Blue
263393,Metro Blue
263394,Metro Blue
263395,Metro Blue
263401,Metro Blue
263412,Military Green
263413,Military Green
263414,Military Green
263415,Military Green
263421,Military Green
263432,Navy
263433,Navy
263434,Navy
263435,Navy
263441,Navy
263452,Navy
263463,Navy
263474,Navy
263502,Olive
263503,Olive
263504,Olive
263505,Olive
263511,Olive
263522,Orange
263523,Orange
263524,Orange
263525,Orange
263531,Orange
263542,Orange
263572,Prairie Dust
263573,Prairie Dust
263574,Prairie Dust
263575,Prairie Dust
263581,Prairie Dust
263592,Prairie Dust
263602,Purple
263603,Purple
263604,Purple
263605,Purple
263611,Purple
263622,Purple
263632,Red
263633,Red
263634,Red
263635,Red
263641,Red
263652,Red
263663,Red
263674,Red
263682,Royal
263683,Royal
263684,Royal
263685,Royal
263691,Royal
263702,Royal
263713,Royal
263724,Royal
263732,Sand
263733,Sand
263734,Sand
263735,Sand
263741,Sand
263752,Sand
263762,Sapphire
263763,Sapphire
263764,Sapphire
263765,Sapphire
263771,Sapphire
263822,Stone Blue
263823,Stone Blue
263824,Stone Blue
263825,Stone Blue
263831,Stone Blue
263842,Stone Blue
263852,Tan
263853,Tan
263854,Tan
263855,Tan
263861,Tan
263872,Tangerine
263873,Tangerine
263874,Tangerine
263875,Tangerine
263881,Tangerine
263892,Texas Orange
263893,Texas Orange
263894,Texas Orange
263895,Texas Orange
263901,Texas Orange
263912,Texas Orange
263922,Vegas Gold
263923,Vegas Gold
263924,Vegas Gold
263925,Vegas Gold
263931,Vegas Gold
305022,Dark Chocolate
305432,Vegas Gold
305522,Irish Green
305523,Irish Green
305524,Irish Green
305525,Irish Green
305531,Irish Green
305542,Irish Green
305552,Pistachio
305553,Pistachio
305554,Pistachio
305555,Pistachio
305561,Pistachio
362983,Gold
363083,Maroon
470702,Chestnut
470712,Iris
470722,Military Green
470733,Military Green
470744,Military Green
470752,Olive
508632,Ice Grey
508642,Jade Dome
508652,light pink
508662,METRO BLUE
508672,SAPPHIRE
508692,TAN
508703,CHARCOAL
508714,CHARCOAL
508724,GOLD
